% feature1	feature2	feature3	class
0.069098	0.902676	0.423496	1
0.095969	0.839416	0.515512	1
0.097889	0.80292	0.333951	1
0.090211	0.754258	0.432907	1
0.06334	0.76399	0.22595	1
0.059501	0.690998	0.579807	1
0.113244	0.673966	0.760365	1
0.132438	0.737226	0.529823	1
0.184261	0.790754	0.640526	1
0.241843	0.846715	0.209069	1
0.247601	0.895377	0.379818	1
0.18618	0.900243	0.783329	1
0.18618	0.961071	0.680846	1
0.228407	0.961071	0.461095	1
0.28023	0.961071	0.567829	1
0.28215	0.905109	0.794211	1
0.276392	0.783455	0.059183	1
0.239923	0.759124	0.602869	1
0.255278	0.6691	0.050269	1
0.222649	0.644769	0.415375	1
0.105566	0.59854	0.304999	1
0.090211	0.510949	0.874367	1
0.095969	0.447689	0.015009	1
0.142035	0.450122	0.76795	1
0.184261	0.515815	0.970845	1
0.31286	0.722628	0.990083	1
0.324376	0.785888	0.788862	1
0.362764	0.892944	0.438659	1
0.301344	0.656934	0.498311	1
0.132438	0.452555	0.213963	1
0.923225	0.364964	0.643492	0
0.867562	0.340633	0.320036	0
0.850288	0.226277	0.960099	0
0.915547	0.194647	0.726632	0
0.856046	0.116788	0.411953	0
0.785029	0.104623	0.744566	0
0.763916	0.167883	0.267947	0
0.788868	0.260341	0.439924	0
0.84453	0.313869	0.93338	0
0.846449	0.411192	0.683332	0
0.84261	0.435523	0.21256	0
0.744722	0.406326	0.839238	0
0.71977	0.440389	0.628785	0
0.761996	0.498783	0.133773	0
0.815739	0.532847	0.207133	0
0.923225	0.593674	0.607199	0
0.950096	0.559611	0.629888	0
0.950096	0.457421	0.370477	0
0.957774	0.3309	0.575148	0
0.975048	0.158151	0.451425	0
0.773512	0.143552	0.043895	0
0.635317	0.231144	0.027185	0
0.761996	0.323601	0.312685	0
0.773512	0.435523	0.012863	0
0.771593	0.50365	0.383967	0
0.792706	0.591241	0.683116	0
0.710173	0.600973	0.092842	0
0.673704	0.472019	0.035338	0
0.702495	0.343066	0.612395	0
0.78119	0.340633	0.60854	0 
